C02-1122 ==> C04-1174:0.9666, H01-1043:0.9515, I08-2110:0.9413, W02-1608:0.9407, P09-2052:0.8824, I05-1005:0.8587, P06-2097:0.8408, N06-1023:0.8380, C04-1050:0.8120, P02-1028:0.7736
N10-1013 ==> N12-1077:0.8621, S14-2079:0.8596, W09-3204:0.8517, D09-1081:0.8437, E09-1094:0.8406, D10-1114:0.8272, N13-1130:0.8270, P12-1092:0.8208, N13-1105:0.8173, P09-1002:0.8068
C14-1056 ==> C10-1111:0.9468, C08-1062:0.9452, D14-1170:0.9445, C10-1128:0.9408, P13-2115:0.9401, W10-3306:0.9397, W14-3703:0.9351, P13-2099:0.9329, E09-2002:0.9304, D11-1124:0.9297
P06-1108 ==> W06-1807:0.9394, W03-0907:0.8327, W04-3217:0.8043, W04-1009:0.7802, P06-1050:0.7702, W04-0841:0.7695, W04-0211:0.7681, N04-2009:0.7675, W04-0857:0.7638, W04-0902:0.7608
P10-1077 ==> P09-1076:0.9718, C08-2022:0.8691, W10-1817:0.8554, J05-2005:0.8457, N06-2034:0.8381, C10-2172:0.8359, L08-1050:0.8318, C14-2006:0.8299, W13-2315:0.8284, W09-3029:0.8268
P10-1143 ==> W14-2909:0.9225, W14-2906:0.8838, W09-3208:0.8700, W07-2102:0.8634, E14-4045:0.8585, D09-1103:0.8584, W10-3503:0.8477, D12-1045:0.8397, L08-1554:0.8386, W04-0819:0.8309
C10-1137 ==> W09-2409:0.9788, H05-1105:0.9509, W04-2010:0.9279, C04-1195:0.9251, N12-1028:0.9231, N07-1045:0.9015, I05-2018:0.8989, P00-1014:0.8985, P07-3014:0.8945, W09-0203:0.8924
S14-2034 ==> S12-1073:0.9220, W14-0803:0.9186, S14-2080:0.9174, W13-2805:0.9075, W13-4912:0.9034, P13-1104:0.9020, W10-1411:0.9003, W08-2138:0.8986, D14-1049:0.8979, W09-1214:0.8974
W11-1417 ==> W12-2001:0.9034, W04-2307:0.8144, P07-1046:0.8095, W11-0133:0.8028, C08-1010:0.8008, W03-0205:0.7975, W13-4014:0.7940, P01-1048:0.7931, P07-1100:0.7925, N06-3006:0.7896
D07-1043 ==> W04-0817:0.9734, S10-1080:0.9636, W14-4016:0.9573, D10-1024:0.9566, W04-3010:0.9518, N03-3002:0.9513, N06-1029:0.9512, N10-1109:0.9074, N09-2021:0.8526, D13-1148:0.8479
J04-3004 ==> P06-1027:0.9572, P02-1046:0.8627, W03-0201:0.8222, N07-2028:0.8121, W14-6205:0.8039, W11-0203:0.7701, W04-2402:0.7647, W07-1516:0.7612, W09-0801:0.7565, W13-5004:0.7543
L08-1246 ==> L08-1151:0.9436, P06-2018:0.9379, P09-1008:0.9343, W08-1004:0.9299, W10-1612:0.9294, J05-3003:0.9196, W09-1008:0.9178, W09-2605:0.9149, P06-1037:0.9014, W08-1006:0.8998
D09-1033 ==> N10-1039:0.8811, D14-1216:0.8702, J14-2007:0.8659, S13-2018:0.8556, W14-2304:0.8531, P13-2046:0.8440, W11-0807:0.8364, D07-1110:0.8353, W07-1101:0.8328, W05-1006:0.8311
P09-1042 ==> P10-1131:0.8295, P09-2001:0.8277, P13-1057:0.8182, D14-1096:0.8161, W12-1914:0.8026, Q13-1001:0.7967, C10-2016:0.7914, P11-1061:0.7855, D12-1127:0.7836, E14-3003:0.7819
P06-3007 ==> I08-2101:0.9472, W06-0706:0.9395, D12-1024:0.9206, W04-1017:0.9194, C04-1057:0.9089, C08-1062:0.8968, W03-0502:0.8922, W14-3703:0.8911, P13-2099:0.8891, W10-3903:0.8836
P08-1032 ==> W14-5410:0.9540, N10-1125:0.9448, P10-1126:0.8774, S14-1015:0.8009, N03-4003:0.7744, N10-1011:0.7725, D13-1127:0.7638, W13-1301:0.7553, W14-0818:0.7503, W11-0326:0.7488
L08-1599 ==> W09-1510:0.9149, S10-1065:0.9055, J08-2006:0.8968, W14-3001:0.8945, L08-1429:0.8935, W09-1127:0.8912, N04-3006:0.8910, W11-0146:0.8897, S10-1059:0.8865, W04-2711:0.8838
P07-2010 ==> C14-1086:0.9095, N13-1118:0.8971, W08-1305:0.8927, L08-1306:0.8907, W12-0906:0.8900, L08-1149:0.8855, W13-0908:0.8820, L08-1109:0.8787, N10-1147:0.8767, W10-0609:0.8709
W02-1611 ==> N03-2006:0.9798, H01-1002:0.9700, N06-2029:0.9678, I05-7004:0.9674, H01-1071:0.9670, W05-0828:0.9638, C00-1019:0.9530, W01-1401:0.9530, W04-1404:0.9520, W02-0718:0.9471
W10-1712 ==> J00-2003:0.8961, I05-7012:0.8921, E99-1015:0.8904, P01-1021:0.8858, C00-1079:0.8847, C10-2131:0.8837, N06-2021:0.8835, P01-1062:0.8833, W08-1137:0.8829, P14-2116:0.8824
C14-1172 ==> S10-1019:0.9151, H05-1083:0.9044, S12-1002:0.8956, W11-1903:0.8925, D14-1084:0.8909, W11-1918:0.8897, P13-2015:0.8896, S10-1001:0.8895, P13-3012:0.8862, S10-1020:0.8842
L08-1380 ==> N06-2041:0.9880, P06-1092:0.9865, P06-2026:0.9856, I05-1067:0.9856, W06-1707:0.9855, E06-1028:0.9833, W06-1700:0.9831, W06-1710:0.9693, E06-2001:0.9473, L08-1011:0.9406
P07-3014 ==> W07-2082:0.9568, C04-1195:0.9206, I08-1074:0.9020, W09-2409:0.9015, C10-1137:0.8945, N12-1028:0.8936, P08-2047:0.8909, W04-2010:0.8845, J09-2003:0.8834, P03-2035:0.8776
W04-1505 ==> W04-2003:0.9605, W07-1526:0.9451, W06-2305:0.9315, C08-1020:0.9228, P06-2018:0.9181, W08-1004:0.9074, P09-1008:0.9057, W09-2605:0.9009, L08-1213:0.9007, W04-2006:0.9006
C00-2092 ==> W06-1506:0.9498, W06-1505:0.9430, W09-3801:0.9315, C04-1154:0.9198, W07-0402:0.9196, P08-1069:0.9035, J10-3006:0.8892, W07-0404:0.8861, P06-2036:0.8848, W08-0411:0.8809
I05-6011 ==> P05-2024:0.9961, W14-2202:0.9941, W02-1508:0.9913, P03-2033:0.9899, P14-5009:0.9813, C10-2123:0.9798, W06-3904:0.9767, W02-1502:0.9747, P05-1041:0.9639, P06-1052:0.9631
L08-1418 ==> L08-1433:0.9841, W14-4915:0.9757, W14-5206:0.9639, W14-5203:0.9519, W06-3813:0.9490, W07-1501:0.9483, E12-2001:0.9207, W09-3004:0.9169, W13-2312:0.9108, W07-1518:0.8791
J11-4007 ==> N12-1082:0.9533, W12-2203:0.8378, W10-4212:0.8358, J12-1006:0.8269, W13-2108:0.8237, W08-1131:0.8151, H05-1031:0.8092, W09-0615:0.8055, W08-1113:0.7990, W07-1504:0.7961
W03-0419 ==> W03-0427:0.9335, W03-0429:0.9250, W03-0434:0.9069, W03-0426:0.8816, W03-0431:0.8602, W03-0435:0.8494, W01-0722:0.8434, W03-0421:0.8418, W03-0433:0.8362, W02-2022:0.8325
C14-1055 ==> D14-1224:0.8389, D09-1036:0.8192, P12-1008:0.8117, P14-1003:0.8011, W14-5808:0.7934, I08-7010:0.7862, W05-0312:0.7839, P07-1071:0.7782, N09-1064:0.7777, C14-1160:0.7758
P06-2065 ==> W11-1511:0.9444, W11-1202:0.9435, C14-1218:0.9024, D14-1185:0.8818, D08-1085:0.8726, D14-1184:0.8720, P13-1154:0.8690, P13-1060:0.8632, P10-1106:0.8621, P12-2016:0.8481
N12-1057 ==> W12-3302:0.9626, W09-3953:0.9562, D14-1211:0.9268, P14-2056:0.9263, W13-2402:0.8894, W09-3001:0.8882, S10-1100:0.8841, P11-1078:0.8824, D14-1052:0.8773, P12-2032:0.8762
C08-1126 ==> W09-0308:0.9670, L08-1275:0.9612, D14-1031:0.9553, S14-1004:0.9507, L08-1323:0.9433, W10-1610:0.9336, W14-4332:0.9272, L08-1168:0.9216, N12-2007:0.9178, J06-1003:0.9164
P11-2044 ==> W11-1610:0.8839, W07-1429:0.8556, W09-2805:0.8403, P13-2123:0.8336, W12-2910:0.8264, C08-1018:0.8084, W09-0604:0.8056, E09-1097:0.8029, D07-1008:0.7963, P14-2092:0.7898
W14-1613 ==> P12-1066:0.8831, E14-3003:0.8702, D11-1006:0.8646, N13-1126:0.8602, N12-1069:0.8532, P13-1105:0.8363, W14-4202:0.8343, P09-1007:0.8295, D10-1120:0.8294, P14-1100:0.8238
W06-3326 ==> L08-1148:0.9460, L08-1417:0.9446, W01-1305:0.9401, C02-1092:0.9349, P09-2042:0.9339, W00-1202:0.9283, E99-1015:0.9278, C02-1137:0.9275, P99-1079:0.9239, W03-2108:0.9236
P06-2116 ==> W09-0602:0.9909, W08-0508:0.9901, W06-2801:0.9878, W07-0210:0.9845, W00-1410:0.9703, J01-3004:0.9678, A00-1017:0.9664, W02-1703:0.9634, J03-2003:0.9615, P01-1015:0.9589
L08-1340 ==> N07-2005:0.9519, W13-4035:0.9439, W13-2606:0.9416, H01-1050:0.9411, W04-1512:0.9407, C02-1124:0.9382, W08-0202:0.9362, W09-3420:0.9344, W04-2507:0.9344, W13-3401:0.9340
P01-1033 ==> W99-0609:0.9663, N09-2050:0.9644, P99-1005:0.9589, W09-3412:0.9584, W13-2706:0.9580, W05-0506:0.9549, P10-1082:0.9515, W06-0201:0.9503, N12-3005:0.9499, W10-3407:0.9496
N03-1019 ==> N01-1018:0.9389, D08-1086:0.8372, W04-3255:0.8355, W02-0706:0.8237, P06-2088:0.8174, J00-1003:0.8173, W00-0508:0.8062, P01-1007:0.7893, J14-3008:0.7889, H05-1109:0.7799
P14-1147 ==> P11-1032:0.8576, W12-0404:0.8438, D14-1055:0.8431, W12-0403:0.8418, N06-2022:0.8401, W14-2703:0.8364, P14-5018:0.8350, N10-1096:0.8330, W13-1606:0.8298, D14-1155:0.8284
W14-4011 ==> W12-3150:0.9456, E09-1061:0.9371, P10-1086:0.9356, W11-2166:0.9203, W12-3128:0.9191, W10-3801:0.9175, D10-1043:0.9164, W10-1738:0.9156, P12-2007:0.9156, W10-1724:0.9153
P13-1127 ==> W12-2801:0.8695, W14-0207:0.8539, P14-3005:0.8448, W12-2802:0.8354, P10-1083:0.8346, W14-2407:0.8297, W10-2903:0.8296, D14-1043:0.8287, D11-1039:0.8280, J13-2005:0.8274
C02-1047 ==> N09-4007:0.9576, I08-5012:0.9491, W04-1607:0.9460, C02-1100:0.9446, P13-2054:0.9443, W04-0503:0.9425, P10-1082:0.9410, H01-1050:0.9402, P00-1045:0.9397, P05-2018:0.9386
E12-1022 ==> P14-2055:0.9672, D08-1079:0.9628, W14-3703:0.9588, C14-1113:0.9543, W09-1312:0.9485, D13-1069:0.9459, P11-2113:0.9458, N06-2046:0.9438, I05-2027:0.9409, C10-1111:0.9379
P14-1001 ==> D09-1161:0.8741, N10-1003:0.8612, P13-2108:0.8600, S14-2019:0.8588, W10-4150:0.8583, N09-2064:0.8571, P14-2129:0.8560, P12-2001:0.8531, P12-1019:0.8511, W07-2210:0.8453
P11-1003 ==> D12-1078:0.9073, P12-1100:0.9044, P10-1034:0.9041, W11-2161:0.9038, D11-1047:0.9025, P11-2076:0.8987, D13-1108:0.8976, D10-1043:0.8970, W12-3150:0.8970, P11-2072:0.8963
W05-0606 ==> W07-1307:0.9853, W09-0304:0.9743, W06-1107:0.9675, W10-2412:0.9612, C04-1137:0.9606, W07-1308:0.9587, W10-2305:0.9561, E03-1088:0.9517, N01-1014:0.9391, D07-1095:0.9364
C00-1072 ==> C02-1130:0.9130, N10-2002:0.8292, P02-1058:0.8280, W06-1663:0.8136, P03-2021:0.8064, W08-2207:0.7859, N03-1037:0.7806, C04-1144:0.7569, C08-1021:0.7413, P03-1001:0.7333
D08-1064 ==> W10-0728:0.8591, W10-0707:0.8420, D09-1030:0.8360, N10-1057:0.8357, W08-0301:0.8310, W10-0706:0.8224, W10-0708:0.8181, P08-1007:0.8175, P13-2072:0.8111, D11-1035:0.8018
W12-4004 ==> D14-1088:0.9395, P06-2075:0.9380, L08-1188:0.9369, E09-1021:0.9348, W10-3305:0.9337, P11-1162:0.9331, D09-1028:0.9292, W09-2508:0.9272, W09-0209:0.9262, D09-1089:0.9257
W12-3102 ==> W13-2247:0.8613, W11-2113:0.8311, W13-2255:0.8135, W12-3114:0.8074, P13-4014:0.8066, W13-2251:0.8061, W12-3106:0.8032, S14-2085:0.7973, P13-2025:0.7968, W12-3118:0.7945
P04-1009 ==> P08-1055:0.9933, C02-1147:0.9933, W12-1635:0.9920, E06-1009:0.9911, P08-1071:0.9908, W12-1606:0.9407, W04-3006:0.9339, P14-1047:0.9324, W08-0126:0.9278, D12-1007:0.9261
W03-0320 ==> W05-0819:0.9031, W05-0809:0.9028, P06-2112:0.8874, W12-0215:0.8718, W05-0812:0.8691, W04-2905:0.8673, W05-0810:0.8613, W06-1505:0.8562, W13-2505:0.8554, C04-1006:0.8509
P13-1148 ==> C10-1060:0.9363, W08-2109:0.9360, N10-1074:0.9356, Q14-1008:0.9348, D14-1091:0.9341, W11-0601:0.9302, W13-2601:0.9276, W13-3011:0.9255, D13-1005:0.9242, W08-0704:0.9219
C10-2133 ==> W04-0840:0.9188, W09-2704:0.9165, N03-4010:0.9153, W09-2703:0.9147, P06-1114:0.9137, W04-2508:0.9125, W04-0506:0.9076, P06-1113:0.9037, W06-3002:0.9011, W06-1910:0.8956
P09-3010 ==> D11-1069:0.9619, W10-4356:0.9584, L08-1362:0.9479, P03-1053:0.9466, A00-1042:0.9433, C02-2013:0.9416, W01-1305:0.9413, L08-1377:0.9413, W10-4354:0.9412, H05-1121:0.9410
W13-2126 ==> W12-2005:0.8580, W12-2201:0.8534, W14-3336:0.8499, W11-2117:0.8382, P11-2027:0.8344, C10-1149:0.8337, W12-3901:0.8337, W14-3343:0.8332, W11-2157:0.8330, L08-1143:0.8305
W14-1814 ==> W13-1707:0.9946, W09-2101:0.9854, N09-1050:0.9852, W13-1737:0.9838, N12-1011:0.9836, W11-1404:0.9759, W08-0912:0.9751, N06-1028:0.9594, W12-2021:0.9496, W14-1816:0.9319
P13-1087 ==> W07-2068:0.9441, N13-1079:0.9420, S10-1094:0.9403, W08-2211:0.9367, S10-1087:0.9358, P06-1012:0.9347, W10-2801:0.9297, S10-1090:0.9231, W10-3301:0.9230, W08-2114:0.9213
W07-1109 ==> W06-2404:0.9277, W10-3712:0.9253, I08-2094:0.8934, P05-3015:0.8654, C04-1058:0.8593, P06-1078:0.8526, W06-2203:0.8475, W03-1504:0.8444, N04-4010:0.8427, W06-2602:0.8409
W06-1009 ==> P07-1110:0.9920, C08-1017:0.9692, J05-4003:0.9655, I08-6001:0.9649, N09-2007:0.9636, N10-1070:0.9580, C08-1007:0.9495, L08-1582:0.9377, I08-2104:0.9153, W11-1217:0.9089
W04-3219 ==> P06-2096:0.8596, I05-5001:0.8513, E06-1021:0.8429, J08-4005:0.8313, P12-2008:0.8194, D13-1090:0.8147, C14-1117:0.8080, S12-1034:0.8067, N10-1017:0.8043, I05-5004:0.8019
P13-1079 ==> E14-1042:0.9104, P13-1126:0.9072, E09-1043:0.9059, E14-1061:0.9001, W13-2238:0.8994, N12-1005:0.8903, D12-1037:0.8861, W09-0434:0.8858, W10-3805:0.8785, E12-3008:0.8774
L08-1330 ==> W06-0603:0.9906, J07-1002:0.9894, J06-2004:0.9664, J05-3001:0.9660, J04-1005:0.9188, J08-3001:0.9023, W10-1818:0.8977, L08-1009:0.8955, W06-1318:0.8919, J12-2009:0.8876
W05-1507 ==> N06-1033:0.9201, W09-3801:0.9042, W06-1506:0.9034, W07-0404:0.9033, P08-1069:0.9031, P09-1111:0.9020, J10-3006:0.9000, N03-1021:0.8958, P06-2036:0.8919, W06-1505:0.8889
I05-4003 ==> W13-2104:0.8500, P09-2077:0.8353, W05-1605:0.8255, W06-1513:0.8225, W04-0910:0.8188, C08-2009:0.8181, P13-2131:0.8140, P08-2062:0.8047, P08-3002:0.7962, C04-1044:0.7914
P07-1011 ==> N10-1108:0.9060, H05-1006:0.8578, P04-1022:0.8337, W13-3607:0.8289, N07-2024:0.8226, W14-1713:0.8160, W14-1813:0.8073, D14-1102:0.8045, P12-2049:0.7982, W14-1711:0.7979
P12-1079 ==> W08-0307:0.9220, W11-2140:0.9091, P12-1048:0.9042, P13-2057:0.9041, P13-2061:0.9039, W08-0405:0.9022, P13-1032:0.9019, W13-2261:0.9018, W14-1003:0.9016, W05-0833:0.9006
W10-1837 ==> W06-1705:0.7843, P09-2053:0.7576, E03-1069:0.7565, L08-1088:0.7532, W10-1827:0.7526, L08-1380:0.7519, W11-1723:0.7502, I05-1067:0.7455, P06-1092:0.7454, W09-3716:0.7431
J06-1002 ==> I05-1026:0.9859, C02-1006:0.9845, N03-3009:0.9823, C02-1033:0.9759, W06-1320:0.9706, W06-2914:0.9688, E03-1058:0.9673, P00-1039:0.9669, P07-1064:0.9666, P01-1064:0.9581
W04-3237 ==> P03-1020:0.8249, P11-1012:0.7656, P02-1061:0.7619, D13-1086:0.7574, W13-4068:0.7529, P08-2001:0.7506, P07-1033:0.7484, N04-1039:0.7421, N13-1080:0.7305, W10-2608:0.7292
H01-1070 ==> P00-1078:0.9758, W03-1704:0.9311, I05-1088:0.9090, C00-2116:0.8900, W07-1309:0.8875, W14-5817:0.8863, W04-0103:0.8854, P01-1013:0.8851, W00-0409:0.8815, W04-0410:0.8814
D09-1102 ==> C08-1079:0.9597, P05-1021:0.9582, I05-1063:0.9541, L08-1333:0.9386, I05-1065:0.9385, W06-2906:0.9375, D11-1099:0.9366, P04-1020:0.9363, W11-1922:0.9354, C04-1074:0.9312
E06-2028 ==> I05-1022:0.9254, C10-1147:0.8533, W09-2421:0.8479, N09-2028:0.8333, W10-4228:0.8307, E09-1051:0.8305, I05-1033:0.8275, I08-1057:0.8237, C10-1099:0.8233, P08-1074:0.8218
W11-1712 ==> W06-0306:0.9894, I05-1001:0.9831, W13-2402:0.9820, P08-2034:0.9815, W13-2513:0.9776, W10-4119:0.9760, W10-4121:0.9757, C10-2169:0.9730, P07-3007:0.9727, P07-2023:0.9717
W03-1027 ==> P02-1064:0.9689, W04-1220:0.9676, P12-3021:0.8936, W03-1309:0.8936, A00-1032:0.8911, W11-0208:0.8649, W04-1215:0.8588, N06-2038:0.8561, N04-2007:0.8543, I05-2046:0.8502
W09-2601 ==> N10-2004:0.9342, W11-0209:0.9146, E12-1070:0.9128, L08-1240:0.9083, J09-2002:0.9076, P09-1084:0.9037, C10-2156:0.8997, L08-1597:0.8986, W05-1002:0.8939, D07-1062:0.8923
N10-1023 ==> P08-2001:0.9502, N06-1001:0.9059, D07-1054:0.8936, W13-0806:0.8488, P11-2074:0.8477, P13-1017:0.8436, W13-2238:0.8377, W08-0323:0.8324, E12-1016:0.8310, N13-1035:0.8257
P10-4001 ==> W10-3219:0.9832, W07-1218:0.8923, W02-1502:0.8808, C10-2123:0.8776, W02-1508:0.8775, I05-2035:0.8751, W14-2202:0.8734, W08-2203:0.8729, P08-1111:0.8711, E09-1001:0.8671
P01-1051 ==> W10-1607:0.9827, C00-1031:0.9812, N10-2011:0.9797, W09-2105:0.9776, W03-1602:0.9752, C04-1023:0.9680, W12-2204:0.9660, W01-0814:0.9618, C02-1133:0.8836, N01-1019:0.8689
N07-1055 ==> D07-1009:0.8783, P08-2011:0.8770, P13-1010:0.8683, P06-2103:0.8647, W14-2704:0.8507, W12-2004:0.8462, N06-2017:0.8410, P04-1051:0.8376, P02-1012:0.8328, J09-1003:0.8288
W03-0510 ==> N03-4008:0.9739, P04-3020:0.9532, P05-3013:0.9507, W08-1404:0.9433, W07-0203:0.9381, S14-2037:0.9341, W06-3804:0.9304, W14-1204:0.9295, S10-1037:0.9292, L08-1304:0.9290
W14-0404 ==> D10-1009:0.9745, N12-1089:0.9706, C10-2022:0.9673, P09-1096:0.9671, C08-1056:0.9219, L08-1060:0.9194, W11-2159:0.9173, W14-5815:0.9154, S12-1015:0.9135, W12-0108:0.9082
W10-4322 ==> P05-3023:0.9500, W02-1501:0.9439, N04-3003:0.9437, W00-1316:0.9435, W14-3004:0.9433, P10-1082:0.9424, E99-1007:0.9406, W02-0106:0.9401, W02-0112:0.9399, W03-2003:0.9394
W12-2010 ==> W13-1721:0.9325, W08-0912:0.9044, W09-2101:0.8903, W13-1707:0.8769, W11-1404:0.8741, N06-1028:0.8739, C10-1067:0.8716, W13-1737:0.8711, W03-1314:0.8685, W14-1814:0.8647
D11-1018 ==> W13-2260:0.9004, W11-2139:0.8821, P12-2061:0.8811, W09-1114:0.8791, W10-1702:0.8774, D11-1081:0.8769, D13-1139:0.8659, W10-2915:0.8648, P14-1138:0.8639, P12-2004:0.8633
W09-1115 ==> I05-1066:0.8835, W13-1503:0.8486, W06-1809:0.8374, P02-1028:0.8295, W01-0814:0.8222, N04-1031:0.8167, W14-1202:0.8057, W12-2208:0.7999, D14-1146:0.7906, C00-1031:0.7879
N13-1039 ==> S14-2074:0.8220, S14-2029:0.7952, S14-2105:0.7887, S13-2093:0.7682, S13-2077:0.7639, C14-1166:0.7200, P14-2062:0.7029, D11-1141:0.7004, S14-2065:0.6938, P14-3012:0.6916
N13-3007 ==> N10-1047:0.9852, W11-2502:0.9786, S12-1070:0.9472, W07-2086:0.9471, W12-0502:0.9066, S14-2040:0.9043, P07-2038:0.9038, S12-1057:0.8982, W10-1308:0.8864, D10-1105:0.8787
W06-3312 ==> W06-3314:0.9617, W06-3305:0.9547, W05-1305:0.9328, W05-1306:0.9280, W04-3110:0.9226, W06-3304:0.9181, W11-0224:0.9161, W09-1404:0.9127, W12-2406:0.9115, W09-1420:0.9101
W01-0717 ==> W03-1903:0.9496, W04-2804:0.9414, J00-4003:0.9385, W03-2115:0.9330, N03-1012:0.9327, W03-0903:0.9321, W02-0207:0.9316, W03-0811:0.9312, W03-0809:0.9300, W01-1612:0.9293
D07-1007 ==> I05-2021:0.9145, L08-1133:0.9072, S10-1023:0.9029, S10-1026:0.8948, P05-1048:0.8811, D08-1039:0.8720, P04-1081:0.8522, W12-1906:0.8506, W04-0822:0.8498, W01-0507:0.8487
I08-1067 ==> W13-2807:0.9050, W12-3140:0.8629, W10-3805:0.8592, N13-1114:0.8561, W10-3809:0.8536, E12-3008:0.8513, W14-5505:0.8510, W08-0310:0.8505, W12-3150:0.8500, E14-1003:0.8494
W07-1417 ==> W04-0410:0.9414, C10-2128:0.9409, W01-1003:0.9395, C02-1100:0.9378, W99-0108:0.9331, L08-1125:0.9331, W06-2206:0.9326, C02-2023:0.9303, W09-3521:0.9279, L08-1435:0.9273
W09-1411 ==> W04-1203:0.9405, W09-3824:0.9011, W07-1026:0.8993, W05-1102:0.8982, W09-3032:0.8975, W09-3414:0.8963, E09-1069:0.8933, W09-3003:0.8928, E03-1018:0.8925, W04-2007:0.8923
L08-1105 ==> W07-2048:0.9599, W14-3009:0.9412, L08-1596:0.8573, E12-1070:0.8563, W09-1408:0.8439, S14-1012:0.8426, C10-1153:0.8337, S12-1016:0.8295, W05-0639:0.8294, W08-2128:0.8203
W05-0627 ==> C04-1179:0.9560, W08-2134:0.9462, W05-0621:0.9441, W07-1513:0.9378, W05-0631:0.9285, W07-1518:0.9269, L08-1226:0.9258, W05-0632:0.9253, W05-0628:0.9246, W05-0634:0.9212
N12-1001 ==> P13-1035:0.8203, P11-1118:0.8152, W09-1803:0.7839, W10-0905:0.7830, E14-1006:0.7747, E12-1034:0.7684, W11-2213:0.7675, P08-1090:0.7665, J10-3004:0.7575, P08-2012:0.7573
P07-2002 ==> L08-1577:0.9939, W04-1406:0.9913, W00-0507:0.9738, A00-1004:0.9532, P00-1006:0.9316, A00-1019:0.9297, W00-0707:0.9198, W02-1020:0.9196, N04-4028:0.9175, W03-0413:0.9144
D14-1164 ==> D14-1089:0.9521, D14-1205:0.9431, P13-2141:0.9368, W14-6203:0.9360, D14-1208:0.9284, N13-1095:0.9264, E14-2023:0.9240, W10-0732:0.9212, D14-1166:0.9201, P12-1087:0.9183
D10-1047 ==> P10-1127:0.9619, N07-1056:0.7932, S14-1010:0.7928, L08-1308:0.7725, W11-0326:0.7687, C14-1149:0.7674, W06-0204:0.7617, W07-1211:0.7586, W06-0202:0.7571, P07-1074:0.7523
W14-2401 ==> P10-1129:0.9399, D09-1100:0.9282, W03-2111:0.9208, E09-1058:0.9141, W05-0614:0.9120, P09-1010:0.9066, P00-1013:0.9058, P11-1028:0.9035, W14-4313:0.8814, W09-1001:0.8805
D09-1010 ==> S14-2049:0.8472, D13-1044:0.8358, W08-2004:0.8316, P06-1051:0.8245, E09-1066:0.8137, W07-1412:0.8106, W10-1609:0.8013, W14-1605:0.7969, W10-3504:0.7955, W07-2023:0.7934
C14-1019 ==> S13-2080:0.9489, S13-2076:0.9400, S13-2094:0.9400, S10-1097:0.9390, S13-2085:0.9318, S14-2054:0.9194, W13-2705:0.9186, W06-1706:0.9181, S14-2051:0.9160, D11-1052:0.9155
W13-3204 ==> C14-1180:0.9125, D14-1003:0.8913, W14-3330:0.8908, D09-1105:0.8902, W12-4212:0.8891, D13-1138:0.8837, W10-3812:0.8830, P13-2119:0.8821, N13-1001:0.8813, C14-1105:0.8812
W12-2406 ==> W06-3304:0.9908, W11-0224:0.9837, W04-3110:0.9831, W03-1301:0.9444, W02-0303:0.9227, L08-1234:0.9222, W06-3305:0.9155, W06-3312:0.9115, W06-3314:0.9049, W02-0312:0.9049
W02-1608 ==> I08-2110:0.9923, C04-1174:0.9702, C02-1122:0.9407, H01-1043:0.9187, P02-1028:0.8883, P09-2052:0.8871, P06-2097:0.8801, I05-1005:0.8610, N06-1023:0.8460, C04-1050:0.8143
W13-2224 ==> W14-4007:0.9199, W09-0426:0.9167, W11-2142:0.9141, W12-0111:0.9096, W11-2149:0.9087, W11-2140:0.9076, W14-3317:0.9009, W14-3328:0.8985, D14-1062:0.8961, W14-3321:0.8931
H01-1003 ==> N04-3010:0.9812, H01-1018:0.9714, W06-3704:0.9346, W00-0203:0.9292, W06-3709:0.9289, W08-0802:0.9261, W02-0708:0.9259, W02-0703:0.9246, C02-1170:0.9226, N03-4015:0.9185
P06-1029 ==> I05-1083:0.9660, H05-1034:0.9554, N04-4006:0.8702, W02-1032:0.8674, H05-1027:0.8655, E03-1002:0.8245, D09-1053:0.8194, D14-1133:0.8181, D08-1006:0.8066, W08-1510:0.8044
D08-1013 ==> W14-2620:0.9454, N10-1042:0.9412, I08-1040:0.9383, C14-1127:0.9310, W10-2918:0.9305, S14-2048:0.9305, D12-1014:0.9290, W14-5902:0.9287, C10-2057:0.9286, W10-1605:0.9276
A00-2040 ==> P00-1029:0.9933, P01-1053:0.9929, W01-0518:0.9904, W02-0608:0.9834, W06-3202:0.9789, W05-0805:0.9061, J02-3005:0.8886, W05-0615:0.8835, W04-0104:0.8702, W05-1510:0.8175
N07-3006 ==> W14-2104:0.9071, N09-1064:0.8908, W06-1317:0.8857, C04-1007:0.8773, P13-1048:0.8723, C04-1048:0.8700, W04-0215:0.8689, C04-1020:0.8683, C10-1001:0.8661, W10-4234:0.8651
W09-0625 ==> W09-0616:0.9789, W06-1419:0.9694, W05-1623:0.9588, W08-2120:0.9536, P00-1024:0.9521, H05-2013:0.9410, P08-2066:0.9386, W10-4321:0.9374, W08-1129:0.9373, W08-1134:0.9357
W14-2404 ==> D10-1040:0.9344, D14-1043:0.9048, P14-3005:0.8844, W12-2802:0.8769, E12-1024:0.8747, D09-1100:0.8744, W10-2903:0.8702, D12-1040:0.8626, P11-1028:0.8605, P09-1011:0.8579
C02-1054 ==> C00-2167:0.9334, P03-1005:0.9068, P01-1041:0.9006, W00-1301:0.8959, P07-2017:0.8661, W03-1024:0.8647, C02-1053:0.8542, D07-1063:0.8511, W04-3244:0.8497, C04-1002:0.8465
